,retr_loss,test_acc,train_loss,test_loss
0,24.60017502307892,0.191,23.999427795410156,0.024927192902565003
1,20.994654059410095,0.2701,21.082207202911377,0.027083659291267395
2,21.17283523082733,0.3004,20.57794213294983,0.024535440945625306
3,24.21943187713623,0.331,18.369749307632446,0.022429703056812286
4,17.602487564086914,0.3862,23.1389182806015,0.02116962960958481
5,14.332920610904694,0.4114,20.661974787712097,0.019412486839294432
6,12.496922433376312,0.3871,16.735528111457825,0.020730599451065063
7,12.242911398410797,0.4038,16.997637391090393,0.020765237867832183
8,15.845234215259552,0.42,16.561591863632202,0.020109100663661957
9,8.28360666334629,0.4477,19.011818170547485,0.01854784609079361
